wiggle_room,allocation,2017.08.16-2018.02.14,2017.10.16-2018.04.15,2017.12.15-2018.06.14,2018.02.14-2018.08.14,2018.04.15-2018.10.13,2018.06.14-2018.12.12,2018.08.14-2019.02.10,2018.10.13-2019.04.11,2018.12.12-2019.06.11,2019.02.10-2019.08.10,2019.04.11-2019.10.09,2019.06.11-2019.12.08,2019.08.09-2020.02.06,2019.10.09-2020.04.06,sum
0.1,0.7/0.3,-664.9730949758798,-804.945125882799,361.93977526852535,2173.9905401871574,1100.6296115617677,1771.5163493007897,1449.6492791989479,1365.8421526420725,-853.1003501174357,-860.2158962528646,-351.0422533214678,543.9011460045484,638.9890765085955,419.78047204176625,6291.961682163724
0.1,0.9/0.1,-938.6089425939342,-913.3017432802692,473.7349832453072,2585.938345320661,910.1952906958336,1163.5818660881148,1247.1098930071614,2062.5896618583265,-774.7105752589187,-813.8265349731338,-323.00881905905715,520.4615994570719,641.4599029886658,416.2173337394273,6257.832261235257
0.09,0.9/0.1,-939.3629303163085,-896.871706966822,378.4840830304236,2522.6566965302586,891.7572311108161,1135.630475192638,1244.5397094538723,2057.92335828055,-774.7105752589187,-799.4315788182488,-323.00881905905715,536.9436728014033,641.4599029886658,398.62421374114143,6074.633732710416
0.02,0.9/0.1,-948.4534232148518,-695.830105427624,597.27824239648,2542.425057280013,653.5968741171648,907.3568939847089,1050.99672856933,2359.107825501848,-700.5185794466692,-770.7054097416316,-303.45049089534035,361.39637721482853,588.2514386243467,424.5092274682968,6065.960656430899
0.08,0.8/0.2,-838.7582291666135,-833.6396782255256,427.5673221567475,2328.090993969039,880.1214123947931,1343.2180692341117,1306.8037002937,1880.0655572924413,-814.9507980906534,-829.135077950617,-326.90066080628264,520.8789903012066,620.5315782056086,398.05435851593444,6061.947538123891
0.09,0.85/0.15,-888.5528050977028,-856.3003104675298,436.35606476515414,2370.115621413795,865.4277922209419,1230.172622659287,1278.539345181632,2005.4750403168027,-807.2385182452433,-822.3581153073062,-313.73685159570147,512.4678667924674,615.263569609207,412.97464573198573,6038.605967977789
0.01,0.9/0.1,-947.830799136803,-686.3239462136579,603.1482018460432,2554.0676972230144,653.1360395687303,913.8513340908104,1031.6049706173953,2343.069709524095,-709.2035281500316,-777.0058149088351,-311.34773190099315,349.3450858544325,579.2547899179231,432.6270096741479,6028.393018006271
0.0,0.9/0.1,-940.5985658176673,-675.4274061993603,594.7144628337593,2563.237480390939,649.0081527366027,910.6901742837712,1030.8511231417149,2342.522068871769,-713.249526154718,-775.9785828311029,-306.1044541140489,339.9583642930489,568.5701429612911,434.79274303611237,6022.98617743211
0.05,0.9/0.1,-956.5375874001971,-817.0512526665424,418.480068198283,2457.9456435519214,721.2261647866811,998.1126431973081,1175.889793374216,2325.436627612316,-665.6176484748275,-773.0650789066899,-297.4766083748143,395.2929742779793,608.5757534359747,408.7184652083776,5999.929957819986
0.08,0.9/0.1,-918.3103777432519,-838.1709625424459,431.50431593754246,2527.8719469635116,837.8708822645375,1058.6414889431842,1218.0604497550435,2053.104501168339,-777.8903476880324,-809.2236071499113,-345.55841709726445,497.5859915198828,641.728969606318,405.8896459414742,5983.104479878928
