wiggle_room,allocation,2019.01.01 - 2019.04.11,2019.02.19 - 2019.05.31,2019.04.11 - 2019.07.20,2019.05.31 - 2019.09.08,2019.07.20 - 2019.10.28,sum
0.0,0.9/0.1,0.04108286581145246,-0.00731917393318769,0.08293247353830294,0.04834610264397534,-0.048533407883301787,0.11650886017724124
0.02,0.9/0.1,0.0362303409213153,-0.00731917393318769,0.08292974922462051,0.0474282144020804,-0.048223644170171366,0.11104548644465717
0.04,0.9/0.1,0.0362303409213153,-0.005494705622084679,0.08684033632623561,0.0474282144020804,-0.049317467994752055,0.11568671803279457
0.06,0.9/0.1,0.03580069508283013,-0.005494705622084679,0.08684033632623561,0.050438590668051966,-0.0481493189863635,0.11943559746866954
0.08,0.9/0.1,0.04626859613590286,-0.0034452871240824427,0.08264782357493361,0.03643714580744097,-0.0481493189863635,0.1137589594078315
0.1,0.9/0.1,0.05310084380582371,0.027876779618883036,0.10418526259205703,0.050245463632011315,-0.0481493189863635,0.18725903066241162
0.12,0.9/0.1,0.021025781337135358,0.029828334407836568,0.11300834640808637,0.03274127961647119,-0.02545850163284648,0.17114524013668297
0.14,0.9/0.1,0.029933911738930855,0.029828334407836568,0.08417809304596888,0.03274127961647119,-0.02120627097595501,0.15547534783325248
0.16,0.9/0.1,0.029933911738930855,0.029828334407836568,0.08417809304596888,0.03274127961647119,-0.02120627097595501,0.15547534783325248
0.0,0.85/0.15,0.03719720080116695,-0.009106405429929122,0.07427559410653352,0.042284019263029875,-0.0417925893484289,0.10285781939237233
0.02,0.85/0.15,0.0323621789110535,-0.009106405429929122,0.07427288998529934,0.04137059878836182,-0.04148098062492381,0.09741828162986174
0.04,0.85/0.15,0.03200202720211466,-0.007449643800233006,0.07769480925745838,0.04137059878836182,-0.04248254057140228,0.10113525087629957
0.06,0.85/0.15,0.03200202720211466,-0.007449643800233006,0.07297610611018222,0.04410853159930589,-0.04146618458419878,0.10017083652717099
0.08,0.85/0.15,0.039410030849210534,-0.0016477897561411583,0.09547683896334792,0.04126169362612395,-0.04146618458419878,0.13303458909834245
0.1,0.85/0.15,0.04698958530828116,0.019732043924736712,0.09324686111370978,0.05254687705864956,-0.021925681687029294,0.19058968571834795
0.12,0.85/0.15,0.02622546419875303,0.024915159590055018,0.10027405227240982,0.027972295991187723,-0.018640173443326687,0.1607467986090789
0.14,0.85/0.15,0.02622546419875303,0.024915159590055018,0.07491683453236407,0.027972295991187723,-0.018640173443326687,0.13538958086903313
0.16,0.85/0.15,0.02622546419875303,0.024915159590055018,0.07491683453236407,0.027972295991187723,-0.018640173443326687,0.13538958086903313
0.0,0.8/0.2,0.0333097927166901,-0.01092102305808543,0.06563950471328169,0.036215339262449034,-0.03506786827176196,0.08917574536257343
0.02,0.8/0.2,0.02849228658077257,-0.01092102305808543,0.06563682072794699,0.035306398732793405,-0.03475442181017069,0.08376006117325685
0.04,0.8/0.2,0.028199657693250377,-0.009432493020889658,0.06857430459231768,0.035306398732793405,-0.034796994513333006,0.08785087348413878
0.06,0.8/0.2,0.036172498892303166,-0.00788262556835084,0.06408631469717212,0.03494236619681055,-0.034796994513333006,0.09252155970460199
0.08,0.8/0.2,0.04089609990756627,0.01513203625850421,0.08234762985313572,0.03704998806810357,-0.01885568898977493,0.15657006509753482
0.1,0.8/0.2,0.0225216964679415,0.01513203625850421,0.06461264075260878,0.02320942019090238,-0.016078894525922274,0.1093968991440346
0.12,0.8/0.2,0.0225216964679415,0.01995349855796118,0.0893220626825226,0.02320942019090238,-0.016078894525922274,0.1389277833734054
0.14,0.8/0.2,0.0225216964679415,0.01995349855796118,0.06567589298881191,0.02320942019090238,-0.016078894525922274,0.11528161367969468
0.16,0.8/0.2,0.026389743450331557,0.015378248648516344,0.033554663336151584,-0.002121164083468758,-0.018680183634094075,0.05452130771743666
0.0,0.75/0.25,0.02942077100925082,-0.012763061969341762,0.05702448772242109,0.030140376981692835,-0.028359711788577917,0.07546286195544506
0.02,0.75/0.25,0.024620792801979787,-0.012763061969341762,0.05947911975563002,0.02923592836524784,-0.028044434946121976,0.07252834400739391
0.04,0.75/0.25,0.02439372982248951,-0.01144328270911383,0.062040155882734614,0.02923592836524784,-0.028142218892976342,0.07608431246838179
0.06,0.75/0.25,0.03474979666015211,0.007790595328978292,0.0732108983307294,0.028636061561146148,-0.015787228936312722,0.12860012294469325
0.08,0.75/0.25,0.03482046044706552,0.010485766881763607,0.055515566451781295,0.01845271932162985,-0.013522536923253337,0.10575197617898695
0.1,0.75/0.25,0.01882264974705806,0.014943274621530606,0.06287659512383034,0.01845271932162985,-0.013522536923253337,0.10157270189079552
0.12,0.75/0.25,0.022023902273043947,0.014943274621530606,0.052626271646473384,0.01845271932162985,-0.013522536923253337,0.09452363093942445
0.14,0.75/0.25,0.0,0.0,0.02958148723056356,-0.002855938187544622,-0.015295710410841051,0.01142983863217789
0.16,0.75/0.25,0.0,0.0,0.02958148723056356,0.0,0.0,0.02958148723056356
0.0,0.7/0.3,0.02553026494873847,-0.01463255573733148,0.04843082483347238,0.024059446807604613,-0.021668588267101885,0.06171939258538209
0.02,0.7/0.3,0.020584386881522167,-0.01463255573733148,0.05040955125092211,0.023159501862579545,-0.02135148848599746,0.05816939577169488
0.04,0.7/0.3,0.026181558821760688,-0.015386423924662376,0.04381507343104932,0.02234293127231879,-0.021502329234407685,0.05545081036605873
0.06,0.7/0.3,0.028762739134125765,0.00579316136565427,0.060309996535553446,0.028007988248757856,-0.0109712040216582,0.11190268126243315
